customer_id,n_rides,wait_time,ride_time,arrival_rate,day,week
1,1,0.0,0.24793813509200746,0.6,Monday,1
2,3,0.0,0.4315893928388893,0.6,Monday,1
3,0,0.0,0.0,0.6,Monday,1
1,1,0.0,3.0961304469522744,0.5,Tuesday,1
2,2,0.0,2.8870511106964556,0.5,Tuesday,1
3,3,2.9260952409396577,3.4469135248371208,0.5,Tuesday,1
4,2,0.35752820371702754,3.2253949327280695,0.5,Tuesday,1
5,1,1.296309163418349,3.8561009986556147,0.5,Tuesday,1
6,2,1.3802094100307256,1.3692115203359343,0.5,Tuesday,1
7,1,0.0,1.313027743385299,0.5,Tuesday,1
8,0,0.0,0.0,0.5,Tuesday,1
9,1,0.0,2.8635490978690203,0.5,Tuesday,1
10,0,0.0,0.0,0.5,Tuesday,1
1,3,4.142044008134054,4.823046339215922,0.7,Wednesday,1
2,0,0.0,0.0,0.7,Wednesday,1
3,1,0.0,6.097480784335606,0.7,Wednesday,1
4,0,0.0,0.0,0.7,Wednesday,1
5,1,1.3726027532696259,2.974533634781306,0.7,Wednesday,1
6,0,0.0,0.0,0.7,Wednesday,1
1,1,0.0,0.9410909684044535,0.8,Thursday,1
2,1,1.5493648707847045,1.6861661662149814,0.8,Thursday,1
3,1,4.5060395776987,1.7693918445047707,0.8,Thursday,1
4,1,0.0,3.355949093293683,0.8,Thursday,1
5,1,0.0,0.033124174256032646,0.8,Thursday,1
6,2,0.0,3.0649748460458,0.8,Thursday,1
7,0,0.0,0.0,0.8,Thursday,1
8,0,0.0,0.0,0.8,Thursday,1
1,3,7.073133764544981,2.829997116923702,1.0,Friday,1
2,3,0.28039311234823217,2.02654175108641,1.0,Friday,1
3,3,4.666476130329857,1.10817066811107,1.0,Friday,1
4,2,4.843462932556962,0.4037122542969849,1.0,Friday,1
5,2,0.02000920224058067,5.422327796268667,1.0,Friday,1
6,1,0.5148079204944649,0.5818487626694271,1.0,Friday,1
7,0,0.0,0.0,1.0,Friday,1
8,1,0.0,0.16626072968216832,1.0,Friday,1
9,0,0.0,0.0,1.0,Friday,1
10,0,0.0,0.0,1.0,Friday,1
1,1,0.0,3.546884853618947,1.3,Saturday,1
2,2,0.0,1.2842832097671797,1.3,Saturday,1
3,3,4.125297269459343,2.6833434845310684,1.3,Saturday,1
4,3,4.2821005979595395,3.3294929129074644,1.3,Saturday,1
5,1,4.1155308685784355,0.9380929774205118,1.3,Saturday,1
6,2,2.0809526320820897,4.923432028814043,1.3,Saturday,1
7,4,0.07482925358600401,5.919749334908157,1.3,Saturday,1
8,1,4.355059337761891,2.1796360852394834,1.3,Saturday,1
9,0,0.0,0.0,1.3,Saturday,1
10,2,2.1297472701586084,0.7483917975674013,1.3,Saturday,1
11,1,0.6523688666761132,4.480510511845287,1.3,Saturday,1
12,2,0.7209432475033619,2.2213003379972136,1.3,Saturday,1
13,3,0.0,1.6902190947735987,1.3,Saturday,1
14,1,0.5596024689358163,2.4313545009141313,1.3,Saturday,1
15,1,0.11378846936279174,0.645935840897951,1.3,Saturday,1
16,0,0.0,0.0,1.3,Saturday,1
17,0,0.0,0.0,1.3,Saturday,1
1,5,2.5646259353401124,6.648303647856038,2.0,Sunday,1
2,2,0.0,1.4219710275464044,2.0,Sunday,1
3,2,2.0192918108667426,0.6146661251091254,2.0,Sunday,1
4,1,2.509500654597447,5.028192059151568,2.0,Sunday,1
5,2,1.9484715049754229,0.6509128753599391,2.0,Sunday,1
6,4,3.2852022015242626,6.782898235964851,2.0,Sunday,1
7,3,3.7394236794619595,0.6859838675716832,2.0,Sunday,1
8,2,1.2368162343919744,4.269927114405058,2.0,Sunday,1
9,1,0.0,0.31673766928783387,2.0,Sunday,1
10,3,3.006577910167427,3.189365735648763,2.0,Sunday,1
11,4,4.161614738153832,1.6563248352932298,2.0,Sunday,1
12,2,2.11740783183928,1.4744221310348458,2.0,Sunday,1
13,2,1.8052874497819582,1.4257136976175442,2.0,Sunday,1
14,2,0.39644658927352516,5.778419442789261,2.0,Sunday,1
15,1,2.4198479474970576,1.0130759312417066,2.0,Sunday,1
16,1,2.327472898728537,0.10739075235909645,2.0,Sunday,1
17,3,0.7805409583662541,3.0633494783122988,2.0,Sunday,1
